series_id,series_label,best_year,summed_value,quarters_available,status
PRS31006231,"Manufacturing, Durable Goods | All workers | Sectoral output | % Change same quarter 1 year ago | Seasonal Adjusted",,,,no_quarterly_observations
PRS31006232,"Manufacturing, Durable Goods | All workers | Sectoral output | % Change from previous quarter | Seasonal Adjusted",,,,no_quarterly_observations
PRS31006233,"Manufacturing, Durable Goods | All workers | Sectoral output | Index (2017=100) | Seasonal Adjusted | Index base: 2017",,,,no_quarterly_observations
PRS32006011,"Manufacturing, Nondurable Goods | All workers | Employment | % Change same quarter 1 year ago | Seasonal Adjusted",2022,16.900000,4,ok
PRS32006012,"Manufacturing, Nondurable Goods | All workers | Employment | % Change from previous quarter | Seasonal Adjusted",2021,12.200000,4,ok
PRS32006013,"Manufacturing, Nondurable Goods | All workers | Employment | Index (2017=100) | Seasonal Adjusted | Index base: 2017",1989,589.419000,4,ok
PRS32006021,"Manufacturing, Nondurable Goods | All workers | Average weekly hours | % Change same quarter 1 year ago | Seasonal Adjusted",2010,11.600000,4,ok
PRS32006022,"Manufacturing, Nondurable Goods | All workers | Average weekly hours | % Change from previous quarter | Seasonal Adjusted",2010,6.300000,4,ok
PRS32006023,"Manufacturing, Nondurable Goods | All workers | Average weekly hours | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2012,402.534000,4,ok
PRS32006031,"Manufacturing, Nondurable Goods | All workers | Hours worked | % Change same quarter 1 year ago | Seasonal Adjusted",2021,14.900000,4,ok
PRS32006032,"Manufacturing, Nondurable Goods | All workers | Hours worked | % Change from previous quarter | Seasonal Adjusted",2021,14.400000,4,ok
PRS32006033,"Manufacturing, Nondurable Goods | All workers | Hours worked | Index (2017=100) | Seasonal Adjusted | Index base: 2017",1989,575.424000,4,ok
PRS32006061,"Manufacturing, Nondurable Goods | All workers | Labor compensation | % Change same quarter 1 year ago | Seasonal Adjusted",2022,32.400000,4,ok
PRS32006062,"Manufacturing, Nondurable Goods | All workers | Labor compensation | % Change from previous quarter | Seasonal Adjusted",1992,26.500000,4,ok
PRS32006063,"Manufacturing, Nondurable Goods | All workers | Labor compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2025,531.877000,4,ok
PRS32006081,"Manufacturing, Nondurable Goods | All workers | Nonlabor payments | % Change same quarter 1 year ago | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006082,"Manufacturing, Nondurable Goods | All workers | Nonlabor payments | % Change from previous quarter | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006083,"Manufacturing, Nondurable Goods | All workers | Nonlabor payments | Index (2017=100) | Seasonal Adjusted | Index base: 2017",,,,no_quarterly_observations
PRS32006091,"Manufacturing, Nondurable Goods | All workers | Labor productivity (output per hour) | % Change same quarter 1 year ago | Seasonal Adjusted",2002,28.000000,4,ok
PRS32006092,"Manufacturing, Nondurable Goods | All workers | Labor productivity (output per hour) | % Change from previous quarter | Seasonal Adjusted",2004,27.200000,4,ok
PRS32006093,"Manufacturing, Nondurable Goods | All workers | Labor productivity (output per hour) | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2014,411.105000,4,ok
PRS32006101,"Manufacturing, Nondurable Goods | All workers | Hourly compensation | % Change same quarter 1 year ago | Seasonal Adjusted",2020,27.000000,4,ok
PRS32006102,"Manufacturing, Nondurable Goods | All workers | Hourly compensation | % Change from previous quarter | Seasonal Adjusted",2003,28.600000,4,ok
PRS32006103,"Manufacturing, Nondurable Goods | All workers | Hourly compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2025,531.573000,4,ok
PRS32006111,"Manufacturing, Nondurable Goods | All workers | Unit labor costs | % Change same quarter 1 year ago | Seasonal Adjusted",2022,32.400000,4,ok
PRS32006112,"Manufacturing, Nondurable Goods | All workers | Unit labor costs | % Change from previous quarter | Seasonal Adjusted",2022,30.300000,4,ok
PRS32006113,"Manufacturing, Nondurable Goods | All workers | Unit labor costs | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2025,533.289000,4,ok
PRS32006131,"Manufacturing, Nondurable Goods | All workers | Unit nonlabor payments | % Change same quarter 1 year ago | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006132,"Manufacturing, Nondurable Goods | All workers | Unit nonlabor payments | % Change from previous quarter | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006133,"Manufacturing, Nondurable Goods | All workers | Unit nonlabor payments | Index (2017=100) | Seasonal Adjusted | Index base: 2017",,,,no_quarterly_observations
PRS32006151,"Manufacturing, Nondurable Goods | All workers | Real hourly compensation | % Change same quarter 1 year ago | Seasonal Adjusted",2020,21.500000,4,ok
PRS32006152,"Manufacturing, Nondurable Goods | All workers | Real hourly compensation | % Change from previous quarter | Seasonal Adjusted",2020,20.800000,4,ok
PRS32006153,"Manufacturing, Nondurable Goods | All workers | Real hourly compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2020,425.155000,4,ok
PRS32006161,"Manufacturing, Nondurable Goods | All workers | Output per worker | % Change same quarter 1 year ago | Seasonal Adjusted",2002,28.800000,4,ok
PRS32006162,"Manufacturing, Nondurable Goods | All workers | Output per worker | % Change from previous quarter | Seasonal Adjusted",2004,25.400000,4,ok
PRS32006163,"Manufacturing, Nondurable Goods | All workers | Output per worker | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2013,413.410000,4,ok
PRS32006171,"Manufacturing, Nondurable Goods | All workers | Labor share | % Change same quarter 1 year ago | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006172,"Manufacturing, Nondurable Goods | All workers | Labor share | % Change from previous quarter | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006173,"Manufacturing, Nondurable Goods | All workers | Labor share | Index (2017=100) | Seasonal Adjusted | Index base: 2017",,,,no_quarterly_observations
PRS32006211,"Manufacturing, Nondurable Goods | All workers | Real sectoral output | % Change same quarter 1 year ago | Seasonal Adjusted",2021,18.600000,4,ok
PRS32006212,"Manufacturing, Nondurable Goods | All workers | Real sectoral output | % Change from previous quarter | Seasonal Adjusted",1987,18.700000,3,ok
PRS32006213,"Manufacturing, Nondurable Goods | All workers | Real sectoral output | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2007,413.613000,4,ok
PRS32006221,"Manufacturing, Nondurable Goods | All workers | Sectoral output price deflator | % Change same quarter 1 year ago | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006222,"Manufacturing, Nondurable Goods | All workers | Sectoral output price deflator | % Change from previous quarter | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006223,"Manufacturing, Nondurable Goods | All workers | Sectoral output price deflator | Index (2017=100) | Seasonal Adjusted | Index base: 2017",,,,no_quarterly_observations
PRS32006231,"Manufacturing, Nondurable Goods | All workers | Sectoral output | % Change same quarter 1 year ago | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006232,"Manufacturing, Nondurable Goods | All workers | Sectoral output | % Change from previous quarter | Seasonal Adjusted",,,,no_quarterly_observations
PRS32006233,"Manufacturing, Nondurable Goods | All workers | Sectoral output | Index (2017=100) | Seasonal Adjusted | Index base: 2017",,,,no_quarterly_observations
PRS84006011,Business | All workers | Employment | % Change same quarter 1 year ago | Seasonal Adjusted,1978,22.200000,4,ok
PRS84006012,Business | All workers | Employment | % Change from previous quarter | Seasonal Adjusted,1978,21.900000,4,ok
PRS84006013,Business | All workers | Employment | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,430.182000,4,ok
PRS84006021,Business | All workers | Average weekly hours | % Change same quarter 1 year ago | Seasonal Adjusted,1964,4.900000,4,ok
PRS84006022,Business | All workers | Average weekly hours | % Change from previous quarter | Seasonal Adjusted,2010,5.900000,4,ok
PRS84006023,Business | All workers | Average weekly hours | Index (2017=100) | Seasonal Adjusted | Index base: 2017,1947,462.205000,4,ok
PRS84006031,Business | All workers | Hours worked | % Change same quarter 1 year ago | Seasonal Adjusted,1984,23.500000,4,ok
PRS84006032,Business | All workers | Hours worked | % Change from previous quarter | Seasonal Adjusted,1950,23.700000,4,ok
PRS84006033,Business | All workers | Hours worked | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,420.779000,4,ok
PRS84006041,Business | All workers | Real value-added output | % Change same quarter 1 year ago | Seasonal Adjusted,1950,38.800000,4,ok
PRS84006042,Business | All workers | Real value-added output | % Change from previous quarter | Seasonal Adjusted,1950,57.400000,4,ok
PRS84006043,Business | All workers | Real value-added output | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,497.650000,4,ok
PRS84006051,Business | All workers | Value-added output | % Change same quarter 1 year ago | Seasonal Adjusted,1951,59.000000,4,ok
PRS84006052,Business | All workers | Value-added output | % Change from previous quarter | Seasonal Adjusted,1950,79.300000,4,ok
PRS84006053,Business | All workers | Value-added output | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,633.511000,4,ok
PRS84006061,Business | All workers | Labor compensation | % Change same quarter 1 year ago | Seasonal Adjusted,1978,55.800000,4,ok
PRS84006062,Business | All workers | Labor compensation | % Change from previous quarter | Seasonal Adjusted,1978,59.700000,4,ok
PRS84006063,Business | All workers | Labor compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,611.537000,4,ok
PRS84006081,Business | All workers | Nonlabor payments | % Change same quarter 1 year ago | Seasonal Adjusted,1951,70.300000,4,ok
PRS84006082,Business | All workers | Nonlabor payments | % Change from previous quarter | Seasonal Adjusted,1950,115.300000,4,ok
PRS84006083,Business | All workers | Nonlabor payments | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,661.819000,4,ok
PRS84006091,Business | All workers | Labor productivity (output per hour) | % Change same quarter 1 year ago | Seasonal Adjusted,1950,32.700000,4,ok
PRS84006092,Business | All workers | Labor productivity (output per hour) | % Change from previous quarter | Seasonal Adjusted,1950,32.300000,4,ok
PRS84006093,Business | All workers | Labor productivity (output per hour) | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,473.071000,4,ok
PRS84006101,Business | All workers | Hourly compensation | % Change same quarter 1 year ago | Seasonal Adjusted,1980,42.800000,4,ok
PRS84006102,Business | All workers | Hourly compensation | % Change from previous quarter | Seasonal Adjusted,1974,44.100000,4,ok
PRS84006103,Business | All workers | Hourly compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,581.333000,4,ok
PRS84006111,Business | All workers | Unit labor costs | % Change same quarter 1 year ago | Seasonal Adjusted,1974,45.000000,4,ok
PRS84006112,Business | All workers | Unit labor costs | % Change from previous quarter | Seasonal Adjusted,1974,49.500000,4,ok
PRS84006113,Business | All workers | Unit labor costs | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,491.541000,4,ok
